CTRY3M_ID,AB_Island_ID,Weigelt ID,Island,Archipelago,NOTES,Source,intro_birds_mine,NISP,region,isolation_from_nearest_island(km),isolation_from_nearest_island_group(km),intr_birds_BlackburnEtAl,intr_mammalian_predators,forest_replacement,deforestation,island_area(km2),max_island_elevation(m),notes,fossil_record_quality_rating
9227,34,8652,Eua,Tonga,,Steadman 2006,,1319,wp,18,100,3,0,NA,NA,86.7,328,,2
,139,9960,Ferdinandina,Galapagos,Isla Fernandina,Avibase,,,Pacific,,,,,,,,,,
,140,9890,Floreana,Galapagos,Isla Santa Maria,Avibase,,,Pacific,,,,,,,,,,
,141,9979,Genovesa,Galapagos,Isla Genovesa,Avibase,,,Pacific,,,,,,,,,,
8710,21,9718,Hiva.Oa,Marquesas,,,,146,ep,100,600,0,1,4,3,324,1190,,5
8978,32,9176,Huahine,Society.Islands,Huahine Iti,,,110,ep,30,400,2,1,4,3,78,669,,3
,142,9975,Isabela,Galapagos,Isla Isabela,Avibase,,,Pacific,,,,,,,,,,
9078,7,8937,Lakeba,Fiji,Lakemba island in fiji from website,Steadman 2006,,186,wp,75,800,NA,NA,3,4,55.94,219,,4
,124,77874,Lifou,New.Caledonia,,birds of melanesia.net,,,m,,,,,,,,,,
8601,22,9773,Nuku.Hiva,Marquesas,,,,27,ep,40,600,0,1,4,3,337,1186,,3
,125,78065,Ouvea,New.Caledonia,,birds of melanesia.net,,,m,,,,,,,,,,
,144,9987,Pinta,Galapagos,Isla Pinta,Avibase,,,Pacific,,,,,,,,,,
,145,9906,San Cristobal,Galapagos,Isla San Cristobal,Avibase,,,Pacific,,,,,,,,,,
,146,9942,Santa Cruz,Galapagos,Isla Santa Cruz,Avibase,,,Pacific,,,,,,,,,,
,147,9970,Santiago,Galapagos,Isla San Salvador,Avibase,,,Pacific,,,,,,,,,,
9222,39,8669,Tongatapu,Tonga,,Steadman 2006,,437,wp,800,400,NA,NA,4,2,259,82,,3
