"","CTRY3M_ID","AB_Island_ID","Weigelt.ID","Island","Archipelago","NOTES","Source","intro_birds_mine","NISP","region","isolation_from_nearest_island.km.","isolation_from_nearest_island_group.km.","intr_birds_BlackburnEtAl","intr_mammalian_predators","forest_replacement","deforestation","island_area.km2.","max_island_elevation.m.","notes","fossil_record_quality_rating","good_island"
"55",NA,88,18614,"Madiera","Madiera","Ilha da Madeira","Rando, J. C., Pieper, H., Alcover, J. A., & Olson, S. L. (2012). A new species of extinct fossil scops owl ( Aves : Strigiformes : Strigidae : Otus ) from the Archipelago of Madeira ( North Atlantic Ocean ), 42, 29–42.",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"58",NA,130,82308,"Malaita","Solomons",NA,"birds of melanesia.net",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"59",8935,43,78968,"Malakula","Vanuatu",NA,"Steadman 2006",NA,195,"m",14,440,1,1,NA,NA,"2030",879,NA,4,1
"60",12692,4,8623,"Mangaia","Cook",NA,NA,NA,1674,"ep",200,600,2,2,4,4,"52",169,NA,1,1
"61",NA,120,65798,"Manus","Bismarcks","Manus Island","Birds of Northern Melanesia",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"62",12678,26,77720,"Mare","New.Caledonia",NA,NA,"0?",141,"m",40,75,NA,NA,NA,NA,"1970",129,NA,5,1
"63",5279,13,9834,"Maui","Hawaiian",NA,NA,"26",25000,"h",48,3000,27,5,3,3.5,"1883.7",3052,NA,1,1
"64",9165,47,53663,"Mauritius","Mascarenes",NA,"Cheke & Hume 2008","24",NA,"mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"65",5259,14,9838,"Molokai","Hawaiian",NA,NA,"23",2500,"h",13.7,3000,23,5,3,3.5,"673.5",1515,NA,2,1
"66",NA,62,11652,"Mona","Greater Antilles","found next to puerto rico/ multiple matches","Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"10.9",NA,NA,NA,1
"67",7737,52,66333,"Mussau","Bismarcks","(St Matthias)","Steadman 2006",NA,13,"m",95,550,NA,NA,NA,NA,"400",NA,NA,5,1
"68",NA,121,84751,"New Britain","Bismarcks",NA,"birds of melanesia.net",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"69",NA,131,82593,"New Georgia","Solomons",NA,"birds of melanesia.net",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"71",NA,63,14640,"New Providence","Bahamas",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"207",NA,NA,NA,1
"72",9117,29,9644,"Niue","Niue",NA,"Steadman 2006","1",482,"wp",400,400,1,2,3,2,"259",73,NA,4,1
"73",9283,46,77001,"Norfolk","Norfolk",NA,NA,"12",NA,"nz",1400,670,11,3,NA,NA,"38.6",318,NA,NA,1
"74",12788,27,76597,"North.Island","New.Zealand",NA,"Worthy & Holdaway 2002","37",NA,"nz",50,1500,37,10,1,2,"111582",2796,NA,1,1
"75",11259,15,9850,"Oahu","Hawaiian",NA,NA,"38",3000,"h",42,3000,37,5,3,3.5,"1546.5",1227,NA,1,1
"76",NA,192,19100,"Pico","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"78",NA,64,11797,"Puerto Rico","Greater Antilles",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"9104",NA,NA,NA,1
"80",NA,133,80609,"Rennell","Solomons","Rennell Island","birds of melanesia.net",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"81",9216,48,53611,"Reunion","Mascarenes","Ilet du Gros Galet called Reunion Island in English","Cheke & Hume 2008",NA,NA,"mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"82",9145,49,53693,"Rodrigues","Mascarenes",NA,"Cheke & Hume 2008","11",NA,"mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"83",5864,18,74908,"Rota","Marianas",NA,"Steadman 2006","3",475,"mr",80,500,5,3,NA,NA,"85",491,NA,2,1
"84",5757,19,75050,"Saipan","Marianas",NA,"Steadman 2006","3",12,"mr",10,500,4,4,NA,NA,"122",474,NA,5,1
"86",NA,134,81155,"San Cristobal","Solomons","Makira","Birds of Northern Melanesia",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"87",NA,65,13920,"San Salvador","Bahamas","san salvador island","Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"163",NA,NA,NA,1
"89",NA,79,18189,"Santiago","Cape Verde Islands",NA,"Illera et al 2012",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
