Island,AB_Island_ID,Weigelt.ID,Archipelago,Species_Name,Common_Name,Sibley2_0ID,AB_Species_ID,introduced,modern_observed,historically_observed,fossil_observed,Source,Fossil_Evidence,Notes,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Rhipidura rufifrons,,,427,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Zosterops conspicillatus,,,469,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Anas superciliosa,,,34,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Dendrocygna sp (giant whistling duck),,,138,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Ducula pacifica,,,156,0,0,1,0,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Egretta sacra,,,168,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Porzana tabuensis,,,392,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Ptilinopus rarotongensis,,,413,0,0,1,0,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Vini kuhlii,,,458,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aitutaki,2,8815,Cook Is,Gallus gallus,,,,1,1,1,NA,,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Anas superciliosa,,,34,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Aplonis tabuensis,,,43,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Circus approximans,,4690,96,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Clytorhynchus vitiensis,,,105,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Collocalia spodopygia,,,111,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Columba vitiensis,,,115,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Ducula latrans,,,153,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Ducula pacifica,,,156,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Egretta sacra,,,168,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Falco perigrinus,,,179,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Foulehaio carunculata,,,181,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Gallicolumba stairi,,,191,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Gallirallus philippensis,,,202,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Gallirallus undescr. sp D,,,211,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Halcyon chloris,,,229,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Lalage maculosa,,,254,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Mayrornis lessoni,,,279,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Megapodius alimentum,,,282,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Megapodius amissus / molistructor,,,283,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Myiagra vanikorensis,,,322,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Porphyrio porphyrio,,,371,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Porzana sp. B,,,383,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Ptilinopus perousii,,,409,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Ptilinopus porphyraceus,,,410,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aiwa,5,8916,Fiji,Tyto alba,,,449,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aldabra,,,,Aldbranas cabri,,,,0,0,0,1,"Biber, E. 2002. Patterns of endemic extinctions among island bird species. Ecography, 25: 661-676",,known from fossils,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Actitis hypoleucos,Common Sandpiper,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Anas querquedula,Garganey,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Anous stolidus,Brown Noddy,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,breeds,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Anous tenuirostris,Lesser Noddy,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Anthus trivialis,Tree Pipit,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Ardea cinerea,Grey Heron,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Ardea purpurea,Purple Heron,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Arenaria interpres,Ruddy Turnstone,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Bubulcus ibis,Cattle Egret,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Butorides striata,Striated Heron,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Calidris alba,Sanderling,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Calidris ferruginea,Curlew Sandpiper,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Catharacta antarctica,Brown Skua,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Charadrius hiaticula,Common Ringed Plover,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Charadrius leschenaultii,Greater Sand Plover,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
Alphonse,104,54442,Seychelles,Charadrius mongolus,Lesser Sand Plover,,,0,1,1,0,SBRC Birds checklist as of 31 May 2013 (http://www.seychellesbirdrecordscommittee.com/the-seychelles-list.html),,annual migrant,,,,,,,,,,,
