"","Island","AB_Island_ID","Weigelt.ID","Archipelago","Species_Name","Common_Name","Sibley2_0ID","AB_Species_ID","introduced","modern_observed","historically_observed","fossil_observed","Source","Fossil_Evidence","Notes","good_island"
"73","Abaco",57,15844,"Bahamas","Caracara creightoni","Bahamas Caracara",NA,NA,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"74","Abaco",57,15844,"Bahamas","Colaptes sp.","Flicker",NA,NA,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"75","Abaco",57,15844,"Bahamas","Margarops fuscatus","pearly-eyed thrasher",NA,NA,0,1,1,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"76","Abaco",57,15844,"Bahamas","Nyctanassa violacae","yellow-crowned night heron",NA,NA,0,1,1,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","common",1
"77","Abaco",57,15844,"Bahamas","Petrochelidon fulva","Cave Swallow",NA,NA,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"78","Abaco",57,15844,"Bahamas","Rallus (undescribed sp.)","Abaco flightless rail",NA,NA,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"79","Abaco",57,15844,"Bahamas","Sturnella magna","Eastern Meadowlark",NA,NA,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"80","Abaco",57,15844,"Bahamas","Tyto alba","barn owl",NA,NA,0,1,1,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"81","Aguiguan",16,75004,"Marianas","Columba livia","Rock Pigeon",NA,NA,1,1,NA,NA,"Avibase website",NA,NA,1
"82","Aguiguan",16,75004,"Marianas","Columba livia ",NA,NA,NA,1,1,NA,NA,"Avibase website",NA,NA,1
"83","Aguiguan",16,75004,"Marianas","Estrilda melpoda",NA,"12117",NA,1,1,NA,NA,"Avibase website",NA,NA,1
"84","Aguiguan",16,75004,"Marianas","Estrilda melpoda","Orange-cheeked waxill",NA,NA,1,1,NA,NA,"Avibase website",NA,NA,1
"85","Aguiguan",16,75004,"Marianas","Passer montanus","Eurasian tree sparrow",NA,NA,1,1,NA,NA,"Avibase website",NA,NA,1
"86","Aguiguan",16,75004,"Marianas","Passer montanus ",NA,NA,NA,1,1,NA,NA,"Avibase website",NA,NA,1
"87","Aguiguan",16,75004,"Marianas","Gallus gallus",NA,NA,NA,1,1,NA,NA,"pers. Comm. J. Welch",NA,NA,1
"88","Aguiguan",16,75004,"Marianas","Acrocephalus luscinia",NA,NA,17,0,1,1,0,"steadman 2006",NA,NA,1
"89","Aguiguan",16,75004,"Marianas","Aplonis opaca",NA,NA,41,0,1,1,1,"steadman 2006",NA,NA,1
"90","Aguiguan",16,75004,"Marianas","Cleptornis marchei",NA,NA,102,0,1,1,1,"steadman 2006",NA,NA,1
"91","Aguiguan",16,75004,"Marianas","Collocalia vanikorensis",NA,NA,112,0,1,1,0,"steadman 2006",NA,NA,1
"92","Aguiguan",16,75004,"Marianas","Gallicolumba xanthonura",NA,NA,193,0,1,1,1,"steadman 2006",NA,NA,1
"93","Aguiguan",16,75004,"Marianas","Gallirallus pisonii (sp M)",NA,NA,203,0,0,0,1,"steadman 2006",NA,NA,1
"94","Aguiguan",16,75004,"Marianas","Ixobrychus sinensis",NA,NA,251,0,1,1,0,"steadman 2006",NA,NA,1
"95","Aguiguan",16,75004,"Marianas","Megapodius laperouse",NA,NA,285,0,1,1,1,"steadman 2006",NA,NA,1
"96","Aguiguan",16,75004,"Marianas","Myzomela rubrata",NA,NA,330,0,1,1,1,"steadman 2006",NA,NA,1
"97","Aguiguan",16,75004,"Marianas","Porzana sp. H,I,J",NA,NA,388,0,0,0,1,"steadman 2006",NA,NA,1
"98","Aguiguan",16,75004,"Marianas","Ptilinopus roseicapilla",NA,NA,415,0,1,1,1,"steadman 2006",NA,NA,1
"99","Aguiguan",16,75004,"Marianas","Rhipidura rufifrons",NA,NA,427,0,1,1,0,"steadman 2006",NA,NA,1
"100","Aguiguan",16,75004,"Marianas","Zosterops conspicillatus",NA,NA,469,0,1,1,1,"steadman 2006",NA,NA,1
"101","Aitutaki",2,8815,"Cook Is","Anas superciliosa",NA,NA,34,0,1,1,1,"steadman 2006",NA,NA,1
"102","Aitutaki",2,8815,"Cook Is","Dendrocygna sp (giant whistling duck)",NA,NA,138,0,0,0,1,"steadman 2006",NA,NA,1
"103","Aitutaki",2,8815,"Cook Is","Ducula pacifica",NA,NA,156,0,0,1,0,"steadman 2006",NA,NA,1
"104","Aitutaki",2,8815,"Cook Is","Egretta sacra",NA,NA,168,0,1,1,1,"steadman 2006",NA,NA,1
"105","Aitutaki",2,8815,"Cook Is","Porzana tabuensis",NA,NA,392,0,0,0,1,"steadman 2006",NA,NA,1
"106","Aitutaki",2,8815,"Cook Is","Ptilinopus rarotongensis",NA,NA,413,0,0,1,0,"steadman 2006",NA,NA,1
"107","Aitutaki",2,8815,"Cook Is","Vini kuhlii",NA,NA,458,0,0,0,1,"steadman 2006",NA,NA,1
"108","Aitutaki",2,8815,"Cook Is","Gallus gallus",NA,NA,NA,1,1,1,NA,NA,NA,NA,1
"109","Aiwa",5,8916,"Fiji","Anas superciliosa",NA,NA,34,0,0,0,1,"steadman 2006",NA,NA,1
"110","Aiwa",5,8916,"Fiji","Aplonis tabuensis",NA,NA,43,0,1,1,0,"steadman 2006",NA,NA,1
"111","Aiwa",5,8916,"Fiji","Circus approximans",NA,"4690",96,0,1,1,0,"steadman 2006",NA,NA,1
"112","Aiwa",5,8916,"Fiji","Clytorhynchus vitiensis",NA,NA,105,0,1,1,0,"steadman 2006",NA,NA,1
"113","Aiwa",5,8916,"Fiji","Collocalia spodopygia",NA,NA,111,0,1,1,0,"steadman 2006",NA,NA,1
"114","Aiwa",5,8916,"Fiji","Columba vitiensis",NA,NA,115,0,1,1,0,"steadman 2006",NA,NA,1
"115","Aiwa",5,8916,"Fiji","Ducula latrans",NA,NA,153,0,0,0,1,"steadman 2006",NA,NA,1
"116","Aiwa",5,8916,"Fiji","Ducula pacifica",NA,NA,156,0,1,1,1,"steadman 2006",NA,NA,1
"117","Aiwa",5,8916,"Fiji","Egretta sacra",NA,NA,168,0,1,1,0,"steadman 2006",NA,NA,1
"118","Aiwa",5,8916,"Fiji","Falco perigrinus",NA,NA,179,0,1,1,0,"steadman 2006",NA,NA,1
"119","Aiwa",5,8916,"Fiji","Foulehaio carunculata",NA,NA,181,0,1,1,0,"steadman 2006",NA,NA,1
"120","Aiwa",5,8916,"Fiji","Gallicolumba stairi",NA,NA,191,0,1,1,1,"steadman 2006",NA,NA,1
"121","Aiwa",5,8916,"Fiji","Gallirallus philippensis",NA,NA,202,0,1,1,1,"steadman 2006",NA,NA,1
"122","Aiwa",5,8916,"Fiji","Gallirallus undescr. sp D",NA,NA,211,0,0,0,1,"steadman 2006",NA,NA,1
"123","Aiwa",5,8916,"Fiji","Halcyon chloris",NA,NA,229,0,1,1,0,"steadman 2006",NA,NA,1
"124","Aiwa",5,8916,"Fiji","Lalage maculosa",NA,NA,254,0,1,1,0,"steadman 2006",NA,NA,1
"125","Aiwa",5,8916,"Fiji","Mayrornis lessoni",NA,NA,279,0,1,1,0,"steadman 2006",NA,NA,1
"126","Aiwa",5,8916,"Fiji","Megapodius alimentum",NA,NA,282,0,0,0,1,"steadman 2006",NA,NA,1
"127","Aiwa",5,8916,"Fiji","Megapodius amissus / molistructor",NA,NA,283,0,0,0,1,"steadman 2006",NA,NA,1
"128","Aiwa",5,8916,"Fiji","Myiagra vanikorensis",NA,NA,322,0,1,1,0,"steadman 2006",NA,NA,1
