AB_Species_ID,Sibley2_0ID,Species_Name,Common.name,Order,Family,Name_Plotting,Pacific,log10Mass,endemism,flightless,ground_nest,primary_diet,secondary_diet,Diet_vert,Diet_invert,Diet_fruit,Diet_nectar,Diet_seed,Diet_scav,Diet_plant,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,NumHabitats,LogFMR,LogPPR,IUCN_status,globally_extinct,global_histVic,global_preVic,Taxon.notes,Nest.notes,guild_ref
146,NA,Ducula amicinsula,,Columbiformes,Columbidae,Ducula amicinsula,y,2.99665364,1,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,1,2.97,3.17,EX,1,NA,1,canopy frugivore,,same as congener
147,3621,Ducula aurorae,"Polynesian Imperial-pigeon, Polynesian Imperial Pigeon, Society Islands Pigeon",Columbiformes,Columbidae,Ducula aurorae,y,2.705177304,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,1,2.76,2.96,EN,0,0,0,canopy frugivore,,walter's
148,NA,Ducula david,,Columbiformes,Columbidae,Ducula david,y,2.983603091,1,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,1,2.96,3.16,EX,1,NA,1,canopy frugivore,,same as congener
149,3632,Ducula finschii,"Finsch's Imperial-pigeon, Growling Imperial Pigeon",Columbiformes,Columbidae,Ducula finschii,y,2.53644097,1,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,1,2.64,2.84,LC,0,0,0,canopy frugivore,,walter's
150,3622,Ducula galeata,"Marquesan Imperial-pigeon, Marquesan Imperial Pigeon, Nukuhiva Imperial-pigeon",Columbiformes,Columbidae,Ducula galeata,y,2.705177304,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,1,2.76,2.96,CR,0,0,0,canopy frugivore,,walter's
151,3637,Ducula goliath,"New Caledonian Imperial-pigeon, Giant Imperial-pigeon, Goliath Imperial Pigeon",Columbiformes,Columbidae,Ducula goliath,y,2.77815125,1,0,0,f,f,0,0,10,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,2.81,3.01,NT,0,0,0,canopy frugivore,,walter's
152,NA,Ducula lakeba,,Columbiformes,Columbidae,Ducula lakeba,y,2.896744194,1,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,1,2.9,3.1,EX,1,NA,1,canopy frugivore,,same as congener
153,3634,Ducula latrans,"Peale's Imperial-pigeon, Barking Imperial Pigeon",Columbiformes,Columbidae,Ducula latrans,y,2.562423728,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,1,2.66,2.86,LC,0,0,0,canopy frugivore,,walter's
154,3639,Ducula melanochroa,"Bismarck Imperial-pigeon, Black Imperial Pigeon",Columbiformes,Columbidae,Ducula melanochroa,y,2.822821645,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,1,2.84,3.05,LC,0,0,0,canopy frugivore,,walter's
155,3620,Ducula oceanica,"Micronesian Imperial-pigeon, Micronesian Imperial Pigeon",Columbiformes,Columbidae,Ducula oceanica,y,2.570002475,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,1,2.66,2.87,NT,0,0,0,canopy frugivore,,walter's
156,3619,Ducula pacifica,"Pacific Imperial-pigeon, Pacific Imperial Pigeon",Columbiformes,Columbidae,Ducula pacifica,y,2.595725507,0,0,0,f,f,0,0,9,0,0,0,1,0,0,2,2,2,4,0,0,1,2.68,2.88,LC,0,0,0,canopy frugivore,,walter's
157,3625,Ducula pistrinaria,"Island Imperial-pigeon, Floury Imperial Pigeon",Columbiformes,Columbidae,Ducula pistrinaria,y,2.711807229,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,1,2.77,2.97,LC,0,0,0,canopy frugivore,,walter's
158,3623,Ducula rubricera,"Red-knobbed Imperial-pigeon, Red-knobbed Imperial Pigeon",Columbiformes,Columbidae,Ducula rubricera,y,2.814247596,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,1,2.84,3.04,LC,0,0,0,canopy frugivore,,walter's
159,NA,Ducula sp. Bismarcks,,Columbiformes,Columbidae,Ducula sp. bismarcks,y,2.777789187,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,1,2.81,3.01,NA,1,NA,1,canopy frugivore,,same as congener
160,3647,Ducula spilorrhoa,,Columbiformes,Columbidae,Ducula spilorrhoa,y,2.698970004,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,1,2.76,2.96,LC,0,0,0,canopy frugivore,,walter's
161,NA,Ducula sp. vanuatu,,Columbiformes,Columbidae,Ducula sp. vanuatu,y,2.462449712,1,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,4,6,0,0,1,2.59,2.79,EX,1,NA,1,canopy frugivore,,same as congener
162,NA,Ducula undescr. sp Tonga,,Columbiformes,Columbidae,Ducula sp Tonga,y,2.777789187,1,0,0,f,f,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,1,2.81,3.01,EX,1,NA,1,canopy frugivore,,same as congener
163,NA,Dysmorodrepanis munroi,,Passeriformes,Fringillidae,NA,NA,NA,3,0,0,f,i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EX,1,1,0,lanai hookbill,,NA
164,NA,Eclectus infectus,,Psittaciformes,Psittacidae,Eclectus infectus,y,2.669543252,1,0,0,f,f,0,0,7,0,3,0,0,0,0,0,4,4,2,0,0,1,2.74,2.91,EX,1,NA,1,,,same as congener
165,2039,Eclectus roratus,Eclectus Parrot,Psittaciformes,Psittacidae,Eclectus roratus,y,2.681930039,0,0,0,f,f,0,0,4,0,3,0,3,0,0,0,4,4,2,0,0,1,2.74,2.92,LC,0,0,0,,,walter's
