Species_Name,Family,Common_name,Taxonomy.notes,Body mass (g),Diet_invert,Diet_vert,Diet_scav,Diet_fruit,Diet_nectar,Diet_seed,Diet_plant,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_watbelowsurface,Height_wataroundsurface,Height_aerial,Nocturnal_cat,guild_ref,mass reference
Loxipasser anoxanthus,Emberizidae,,,11.5,0,0,0,5,0,5,0,0,10,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Troglodytes aedon,Troglodytidae,,,11.55,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Dendroica petechia,Parulidae,,aka family: Emberizidae,11.7,7,0,0,3,0,0,0,2,3,3,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Hylophilus flavipes,Vireonidae,,,11.75,10,0,0,0,0,0,0,0,5,5,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Cnemotriccus fuscatus,Tyrannidae,,,11.9,10,0,0,0,0,0,0,4,5,1,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Carduelis cucullata,Fringillidae,,,12,0,0,0,1,0,8,1,7,1,1,1,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",genus av of 5
Dendroica pinus,Parulidae,,aka family: Emberizidae,12,6,0,0,2,0,2,0,2,3,3,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Lonchura malabarica,Passeridae,WHITE-THROATED SILVERBILL,,12,2,0,0,0,1,7,0,5,5,0,0,0,0,0,0,jetz,Dunning
Sporophila americana,Thraupidae,,aka family: Fringillidae,12,1,0,0,2,0,6,1,3,3,2,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Lonchura malacca,Estrildidae,,,12.1,0,0,0,0,0,10,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
